"model","category","data","mac full","param full","mac backbone","param backbone","zen score","az-expressivity","az-progressivity","az-trainability","mAP50-95","meco","mlps","mambas","c2fs","maxvits"
"bench_model_000240.yaml","full mlp","pedro_vtei.yaml",1705861120,4301531,1218391040,2620488,162.3242123,55.05494952,-0.41023922,-2.149828251,0.571729478,13.356138,4,0,0,0
"bench_model_000934.yaml","full heterogeneous","pedro_vtei.yaml",1082018752,2480305,599963072,816158,115.6844144,50.34722924,-0.427221537,-1.843045654,0.564799262,13.331002,3,0,1,0
"bench_model_000002.yaml","full c2f","pedro_vtei.yaml",681008640,2041395,199447040,380320,62.23288786,48.62567759,-0.282152176,-1.557504967,0.571292321,14.070835,0,0,4,0
"bench_model_000176.yaml","full mlp","pedro_vtei.yaml",1215949440,2887695,537351040,474316,112.8601997,46.93162084,-0.400067806,-2.185404806,0.57075269,13.483891,4,0,0,0
"bench_model_000506.yaml","full heterogeneous","pedro_vtei.yaml",3806932224,8920463,2246747904,3128380,34.46473569,62.73989487,-0.505291462,-2.070155679,0.542898771,14.029073,1,2,0,1
"bench_model_000948.yaml","full heterogeneous","pedro_vtei.yaml",3898920192,7897959,2350542592,2142740,57.29878056,60.53854179,-0.4590168,-2.123853365,0.548793443,13.981432,2,2,0,0
"bench_model_000854.yaml","full heterogeneous","pedro_vtei.yaml",1745299968,5421499,809381888,2024136,68.63568354,57.20331192,-0.379981995,-1.586292035,0.581387521,14.691512,1,0,2,1
"bench_model_000026.yaml","full c2f","pedro_vtei.yaml",2008793600,5647627,788742400,1153640,62.97530258,57.47179341,-0.283370972,-1.666593854,0.56961739,14.849805,0,0,4,0
"bench_model_000798.yaml","full heterogeneous","pedro_vtei.yaml",1214327488,4368849,524436928,1902990,87.62596178,53.95426631,-0.328882217,-1.646694351,0.541941007,14.2938795,2,0,2,0
"bench_model_000656.yaml","full heterogeneous","pedro_vtei.yaml",1716847616,4612707,1018537216,2107168,73.16000962,58.08622718,-0.40870285,-2.238115588,0.586195721,13.739061,1,1,1,1
"bench_model_000546.yaml","full heterogeneous","pedro_vtei.yaml",1633684992,5172091,702676992,1778568,64.00662577,54.55985069,-0.736847162,-1.697892497,0.576746012,13.78067,1,1,1,1
"bench_model_000654.yaml","full heterogeneous","pedro_vtei.yaml",2793349440,6884693,1254157120,1161218,47.04644716,57.60543489,-0.418018341,-1.803245949,0.550565504,14.258965,1,2,1,0
"bench_model_000112.yaml","full c2f","pedro_vtei.yaml",730583040,1948483,250664960,295600,68.93714225,47.63783169,-0.30450654,-1.366115582,0.568444118,14.275867,0,0,4,0
"bench_model_000950.yaml","full heterogeneous","pedro_vtei.yaml",1112488320,3047687,428757120,610628,50.15262341,51.18307948,-0.364642382,-1.736732594,0.547685804,13.611385,1,0,1,2
"bench_model_000214.yaml","full mlp","pedro_vtei.yaml",2345959296,5361347,1416927616,1983184,133.3754516,55.06729746,-0.384654522,-2.067093494,0.568223025,13.652144,4,0,0,0
"bench_model_000584.yaml","full heterogeneous","pedro_vtei.yaml",1499205376,3999175,569433856,618708,57.71519411,52.58519483,-0.870090961,-1.958499714,0.556046899,13.901321,1,1,2,0
"bench_model_000730.yaml","full heterogeneous","pedro_vtei.yaml",1981969280,6692823,767368320,2210484,74.23522067,55.99018931,-0.378200293,-1.825962651,0.574525147,13.804247,2,1,0,1
"bench_model_000090.yaml","full c2f","pedro_vtei.yaml",3011371520,9385067,720645120,765368,61.17254663,55.47225833,-0.324701309,-1.530953165,0.567559326,14.805736,0,0,4,0
